Event	ID	Name			Wwise Object Path	Notes
	124501000	SlimeHeadHit_03			\Default Work Unit\SlimeHeadHit_03	
	124501001	SlimeHeadHit_02			\Default Work Unit\SlimeHeadHit_02	
	124501002	SlimeHeadHit_01			\Default Work Unit\SlimeHeadHit_01	
	124501006	SlimeHeadHit_05			\Default Work Unit\SlimeHeadHit_05	
	124501007	SlimeHeadHit_04			\Default Work Unit\SlimeHeadHit_04	
	417627684	PlayMusic			\Default Work Unit\PlayMusic	
	1415332276	BuildingPlacement_01			\Default Work Unit\BuildingPlacement_01	
	1842524950	BuildingPlacement2_01			\Default Work Unit\BuildingPlacement2_01	
	2312763873	UIClick_01			\Default Work Unit\UIClick_01	
	2312763874	UIClick_02			\Default Work Unit\UIClick_02	
	2336583584	BuildingPlacement2			\Default Work Unit\BuildingPlacement2	
	2391971545	PlayRainSounds			\Default Work Unit\PlayRainSounds	
	2879679237	SlimeSpawnSOund			\Default Work Unit\SlimeSpawnSOund	
	3106958816	SlimeOnClick			\Default Work Unit\SlimeOnClick	
	3161158948	SlimeHeadHit			\Default Work Unit\SlimeHeadHit	
	3164408517	UIClick			\Default Work Unit\UIClick	
	3180268486	PlayTreeHit			\Default Work Unit\PlayTreeHit	
	3504582140	PlayHatNoise			\Default Work Unit\PlayHatNoise	
	4221916518	BuildingPlacement			\Default Work Unit\BuildingPlacement	

Effect plug-ins	ID	Name	Type				Notes
	407274218	Believe in the Slime_2	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\Believe in the Slime_2_FBC78EF0.wem		\Interactive Music Hierarchy\Music\AmbientMusic\Believe in the Slime_2\Believe in the Slime_2		37227648
	430201428	ESM_MG3_fx_science_fiction_alien_gibberish_09	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\ESM_MG3_fx_science_fiction_alien_gibberish_09_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\ESM_MG3_fx_science_fiction_alien_gibberish_09		178380
	449511603	WoodHitSmall_FS10-94_04	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\WoodHitSmall_FS10-94.04_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\WoodHitSmall_FS10-94_04		82016
	475275108	Forest_S08AM_32	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\Forest_S08AM.32_FBC78EF0.wem		\Interactive Music Hierarchy\Music\Ambience\Forest_S08AM_32\Forest_S08AM_32		28255328
	574183791	FS10_76_06_SmallWoodBreak_W	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\FS10_76_06_SmallWoodBreak_W_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\TreeHit\FS10_76_06_SmallWoodBreak_W		213088
	722562023	BodyHitsImpacts-BodyIntoJos_02	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\BodyHitsImpacts-BodyIntoJos_364C70C6.wem		\Actor-Mixer Hierarchy\Default Work Unit\BodyHitsImpacts-BodyIntoJos_02		259372
	783206219	ESM_MG3_fx_science_fiction_alien_gibberish_05	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\ESM_MG3_fx_science_fiction_alien_gibberish_05_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SlimeOnClick\ESM_MG3_fx_science_fiction_alien_gibberish_05		338668
	790378538	ESM_MG3_fx_science_fiction_alien_gibberish_03	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\ESM_MG3_fx_science_fiction_alien_gibberish_03_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SlimeOnClick\ESM_MG3_fx_science_fiction_alien_gibberish_03		286380
	828436038	BodyHitsImpacts-BodyIntoJos_05	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\BodyHitsImpacts-BodyIntoJos_E8C64AD0.wem		\Actor-Mixer Hierarchy\Default Work Unit\BodyHitsImpacts-BodyIntoJos_05		55200
	898831058	ESM_MG3_fx_science_fiction_alien_gibberish_01	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\ESM_MG3_fx_science_fiction_alien_gibberish_01_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SlimeOnClick\ESM_MG3_fx_science_fiction_alien_gibberish_01		235808
	927594337	The Forest Breathes Now_1	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\The Forest Breathes Now_1_FBC78EF0.wem		\Interactive Music Hierarchy\Music\AmbientMusic\The Forest Breathes Now_1\The Forest Breathes Now_1		37096576
	1023083781	ESM_MG3_fx_science_fiction_alien_gibberish_06	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\ESM_MG3_fx_science_fiction_alien_gibberish_06_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SlimeOnClick\ESM_MG3_fx_science_fiction_alien_gibberish_06		342096
	1056416234	LIQSuct_IMPACT-Slime Suctio	H:\MonsterMobster\MonsterMobster_WwiseProject\.cache\Mac\SFX\LIQSuct_IMPACT-Slime Suctio_7BE772D6.wem		\Actor-Mixer Hierarchy\Default Work Unit\LIQSuct_IMPACT-Slime Suctio		105712

